year,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,total
2012,0,1,0,0,1,1,2,3,0,0,0,0,8
2013,0,0,0,0,1,0,2,3,3,0,0,0,9
2014,0,0,0,1,3,2,2,1,0,0,0,0,9
2015,0,0,0,2,0,0,1,3,3,0,0,0,9
2016,0,1,2,2,3,3,1,3,0,0,0,0,15
2017,0,1,0,1,1,3,1,2,0,1,0,0,10
2018,2,2,0,0,0,0,1,3,3,0,0,0,11
2019,1,1,0,0,3,2,1,0,2,0,2,3,15
2020,0,1,0,1,1,1,1,2,3,0,0,2,12
2021,3,1,0,1,1,2,2,3,1,0,0,0,14
2022,0,0,2,0,0,0,0,3,1,1,2,2,11
2023,3,1,0,2,1,2,1,3,3,1,0,0,17
2024,2,2,3,3,0,2,2,3,3,0,0,2,22
2025,3,3,2,2,2,2,3,2,3,0,0,0,22
2026,0,0,2,0,0,0,0,0,0,0,0,0,2
