year_a,year_b,t_mid,rate_m_yr,ci95_m_yr,sigma_stable_m,Neff,n_px
2012,2013,2013.10,0.360,1.356,3.85,29,214743
2013,2014,2014.10,-0.520,2.291,4.10,15,213332
2014,2015,2015.10,-1.680,0.790,2.31,29,213119
2015,2016,2016.10,0.899,1.477,2.57,12,213981
2016,2017,2017.10,-1.291,0.652,1.40,18,213723
2017,2018,2018.10,-0.767,2.088,3.55,10,214745
2018,2019,2019.10,0.296,1.201,2.73,18,215195
2019,2020,2020.10,0.053,1.491,2.76,15,215234
2020,2021,2021.10,0.721,0.534,1.13,18,216386
2021,2022,2022.10,-2.141,3.182,5.63,12,212471
2022,2023,2023.10,-1.822,4.420,6.87,9,212777
2023,2024,2024.10,-0.769,1.229,2.99,22,215456
2024,2025,2025.10,-1.290,1.445,3.10,18,213371
