elev_mid,n_px,ash_pct_N,n_N,ash_pct_NE,n_NE,ash_pct_E,n_E,ash_pct_SE,n_SE,ash_pct_S,n_S,ash_pct_SW,n_SW,ash_pct_W,n_W,ash_pct_NW,n_NW
1400,571,nan,22,100.0,95,100.0,126,100.0,154,100.0,136,nan,23,nan,10,nan,5
1600,4762,100.0,986,100.0,1139,100.0,802,100.0,554,100.0,344,100.0,97,100.0,174,100.0,666
1800,8675,99.8914223669924,921,99.33499584372403,1203,96.81592039800995,1005,96.77002583979328,774,98.57142857142858,1470,100.0,1269,99.90783410138249,1085,99.89451476793249,948
2000,10646,81.52542372881356,1180,82.28200371057514,1078,83.7796480489671,1307,76.26953125,1024,97.06400469759248,1703,98.59838274932613,1855,87.71251931993818,1294,78.58921161825727,1205
2200,9027,79.45205479452055,1022,89.5040369088812,867,91.0,800,80.64798598949213,1142,97.61146496815286,1884,99.13244650086756,1729,97.51351351351352,925,82.67477203647417,658
2400,12756,97.07792207792207,924,97.45708836617928,1573,82.90796597061099,1293,83.45498783454988,2055,97.45503902273498,2947,98.94902785076195,1903,99.63556851311954,1372,96.80696661828738,689
2600,31134,82.04170557111735,3213,81.90408693597921,4233,75.86636748940414,4011,81.3953488372093,4472,75.39653264478052,5422,86.58354114713217,4010,89.31949954226427,3277,88.78205128205127,2496
2800,14211,69.79310344827586,1450,74.17910447761194,2010,62.6314004747372,2949,55.699754472115046,2851,51.368760064412236,1863,69.59287531806616,786,83.37899543378995,1095,81.52444076222038,1207
3000,8462,72.9602157788267,1483,49.494949494949495,1386,50.38961038961038,1925,25.970475669764898,1829,15.300546448087433,366,50.0,164,63.26530612244898,294,61.47783251231527,1015
3200,9930,19.70649895178197,1431,27.11076684740511,1291,15.888954518606024,1693,7.6349275998244845,2279,1.1954992967651195,1422,10.377358490566039,318,13.076923076923078,520,21.92622950819672,976
3400,14420,11.863425925925926,1728,14.035087719298245,1824,5.804311774461028,1809,0.2565042139978014,2729,0.2771618625277162,3608,1.0341261633919339,967,4.285714285714286,840,13.879781420765028,915
3600,13006,1.3888888888888888,1152,2.373706634205721,1643,0.13489208633093525,2224,0.282326369282891,1771,0.0,2852,0.052328623757195186,1911,1.0922330097087378,824,1.5898251192368837,629
3800,7394,7.6923076923076925,468,2.4691358024691357,405,0.13020833333333331,768,0.2157497303128371,1854,0.056211354693648116,1779,0.39370078740157477,762,0.5110732538330494,587,2.4643320363164722,771
4000,1145,1.36986301369863,73,1.4705882352941175,68,0.0,79,0.9615384615384616,416,0.0,391,0.0,54,0.0,39,nan,25
4200,638,nan,5,nan,8,0.0,70,3.7593984962406015,266,0.45871559633027525,218,0.0,48,nan,16,nan,7
4400,353,nan,1,nan,4,nan,13,5.3097345132743365,113,1.0309278350515463,194,nan,20,nan,6,nan,2
