elev_mid,n_px,ash_pct_N,n_N,ash_pct_NE,n_NE,ash_pct_E,n_E,ash_pct_SE,n_SE,ash_pct_S,n_S,ash_pct_SW,n_SW,ash_pct_W,n_W,ash_pct_NW,n_NW
1400,571,nan,22,100.0,95,100.0,126,100.0,154,100.0,136,nan,23,nan,10,nan,5
1600,4762,100.0,986,100.0,1139,100.0,802,100.0,554,100.0,344,100.0,97,100.0,174,100.0,666
1800,8675,99.5656894679696,921,99.33499584372403,1203,96.31840796019901,1005,94.31524547803618,774,94.89795918367348,1470,100.0,1269,99.81566820276497,1085,99.68354430379746,948
2000,10646,78.89830508474577,1180,72.07792207792207,1078,69.85462892119358,1307,57.8125,1024,94.01056958308867,1703,98.11320754716981,1855,87.94435857805254,1294,79.1701244813278,1205
2200,9027,73.09197651663405,1022,67.35870818915801,867,45.75,800,55.51663747810858,1142,89.43736730360934,1884,96.7032967032967,1729,93.51351351351352,925,77.96352583586626,658
2400,12756,78.78787878787878,924,72.85441830896376,1573,47.56380510440835,1293,52.214111922141115,2055,74.92365117068205,2947,85.12874408828166,1903,91.69096209912536,1372,81.71262699564586,689
2600,31134,32.86647992530345,3213,41.105598866052446,4233,33.1588132635253,4011,43.22450805008945,4472,38.417558096643305,5422,32.31920199501247,4010,38.205675923100394,3277,31.73076923076923,2496
2800,14211,23.79310344827586,1450,24.228855721393035,2010,25.873177348253645,2949,34.16345142055419,2851,24.04723564143854,1863,17.8117048346056,786,18.17351598173516,1095,25.517812758906377,1207
3000,8462,21.98246797033041,1483,14.502164502164502,1386,27.896103896103895,1925,17.71459814106069,1829,6.0109289617486334,366,22.5609756097561,164,23.809523809523807,294,27.586206896551722,1015
3200,9930,14.046121593291405,1431,21.61115414407436,1291,17.779090372120496,1693,10.179903466432647,2279,0.7735583684950774,1422,3.7735849056603774,318,8.461538461538462,520,16.598360655737704,976
3400,14420,7.75462962962963,1728,15.953947368421053,1824,5.4173576561636265,1809,0.18321729571271528,2729,0.08314855875831485,3608,0.1034126163391934,967,1.1904761904761905,840,8.852459016393443,915
3600,13006,0.9548611111111112,1152,1.4607425441265978,1643,0.04496402877697842,2224,0.33879164313946925,1771,0.0,2852,0.0,1911,0.6067961165048543,824,0.9538950715421303,629
3800,7394,5.128205128205128,468,1.9753086419753085,405,0.13020833333333331,768,0.48543689320388345,1854,0.056211354693648116,1779,0.26246719160104987,762,0.17035775127768313,587,1.1673151750972763,771
4000,1145,1.36986301369863,73,1.4705882352941175,68,0.0,79,1.6826923076923077,416,0.5115089514066496,391,0.0,54,0.0,39,nan,25
4200,638,nan,5,nan,8,0.0,70,12.781954887218044,266,1.834862385321101,218,0.0,48,nan,16,nan,7
4400,353,nan,1,nan,4,nan,13,11.504424778761061,113,1.0309278350515463,194,nan,20,nan,6,nan,2
