elev_mid,n_px,area_km2,rate_mean,rate_med,slope_mean,ash_pct,dominant_aspect
1400,571,0.5139,-0.5888534,-0.4672592,14.00881,100.0,SE
1600,4762,4.2858,-0.49714547,-0.34758312,8.948581,100.0,NE
1800,8675,7.8075,-0.20201042,-0.14598174,10.381939,98.00576368876081,S
2000,10646,9.5814,0.17890726,0.1260772,12.948509,81.96505729851587,SW
2200,9027,8.1243,0.26648453,0.20777631,14.697214,78.27628226431816,S
2400,12756,11.4804,0.43581668,0.39107907,14.333787,72.20915647538413,S
2600,31134,28.0206,0.54689735,0.5286014,9.70413,36.87929594655361,S
2800,14211,12.7899,0.37657142,0.41822162,18.976805,25.782844275561185,E
3000,8462,7.6158,-0.117044546,0.019678358,26.954824,21.236114393760342,E
3200,9930,8.937,-0.66173744,-0.79876035,25.014452,12.507552870090635,SE
3400,14420,12.978,-1.1918088,-1.5082216,20.773294,4.320388349514563,S
3600,13006,11.7054,-1.5440458,-1.7332335,17.655573,0.40750422881746884,S
3800,7394,6.6546,-1.5026273,-1.6220847,16.214396,0.7438463619150663,SE
4000,1145,1.0305,-0.6241982,-0.477121,32.943295,1.1353711790393013,SE
4200,638,0.5742,-0.2768602,-0.15973398,37.78732,5.956112852664576,SE
4400,353,0.3177,-0.055723373,0.037501972,34.611412,5.099150141643059,S
