year,date,doy,anom_vs_fixed_ref_m,anom_vs_spring_baseline_m,tier,eruption_flag
2012,2012-05-11,132,6.958,0.000,thin,
2012,2012-06-02,154,5.194,-1.763,thin,
2012,2012-07-05,187,7.443,0.485,thin,
2012,2012-07-27,209,6.300,-0.658,thin,
2012,2012-08-07,220,6.255,-0.702,thin,
2012,2012-08-18,231,5.966,-0.991,thin,
2013,2013-05-31,151,6.110,0.000,thin,
2013,2013-07-03,184,5.562,-0.547,thin,
2013,2013-07-25,206,6.393,0.283,thin,
2013,2013-08-05,217,5.963,-0.147,thin,
2013,2013-09-07,250,2.936,-3.174,thin,
2013,2013-09-18,261,7.222,1.112,thin,
2013,2013-09-29,272,4.512,-1.598,thin,
2014,2014-04-04,94,3.688,0.000,core,
2014,2014-05-07,127,4.345,0.657,core,
2014,2014-05-18,138,4.495,0.807,core,
2014,2014-05-29,149,5.058,1.370,core,
2014,2014-06-09,160,5.037,1.349,core,
2014,2014-06-20,171,5.387,1.699,core,
2014,2014-07-12,193,5.922,2.234,core,
2014,2014-07-23,204,5.709,2.021,core,
2014,2014-08-03,215,5.589,1.901,core,
2015,2015-04-13,103,4.359,0.000,thin,
2015,2015-04-24,114,4.537,0.178,thin,
2015,2015-07-21,202,3.248,-1.112,thin,
2015,2015-08-01,213,4.821,0.461,thin,
2015,2015-08-12,224,7.247,2.887,thin,
2015,2015-09-14,257,5.456,1.097,thin,
2015,2015-09-25,268,5.185,0.825,thin,
2016,2016-04-10,101,4.512,0.000,core,eruption
2016,2016-04-21,112,4.746,0.234,core,eruption
2016,2016-05-02,123,4.818,0.307,core,eruption
2016,2016-05-13,134,5.020,0.508,core,eruption
2016,2016-05-24,145,4.863,0.351,core,eruption
2016,2016-06-04,156,4.874,0.363,core,eruption
2016,2016-06-15,167,5.858,1.346,core,eruption
2016,2016-06-26,178,5.706,1.194,core,eruption
2016,2016-07-18,200,5.480,0.969,core,eruption
2016,2016-08-09,222,4.866,0.354,core,eruption
2016,2016-08-20,233,4.567,0.055,core,eruption
2016,2016-08-31,244,4.294,-0.218,core,eruption
2017,2017-04-08,98,2.334,0.000,core,
2017,2017-05-11,131,3.049,0.715,core,
2017,2017-06-02,153,3.925,1.591,core,
2017,2017-06-13,164,4.323,1.990,core,
2017,2017-06-24,175,4.893,2.560,core,
2017,2017-07-16,197,4.359,2.025,core,
2017,2017-08-07,219,4.013,1.679,core,
2017,2017-08-29,241,3.727,1.393,core,
2018,2018-08-05,217,3.113,0.000,thin,
2018,2018-08-16,228,4.751,1.638,thin,
2018,2018-08-27,239,3.651,0.537,thin,
2018,2018-09-07,250,2.313,-0.800,thin,
2018,2018-09-18,261,2.955,-0.158,thin,
2018,2018-09-29,272,2.569,-0.544,thin,
2019,2019-05-07,127,2.369,0.000,thin,
2019,2019-05-18,138,3.404,1.035,thin,
2019,2019-05-29,149,2.226,-0.143,thin,
2019,2019-06-09,160,4.087,1.719,thin,
2019,2019-06-20,171,3.588,1.220,thin,
2019,2019-07-01,182,5.113,2.745,thin,
2019,2019-09-16,259,3.586,1.218,thin,
2019,2019-09-27,270,2.648,0.280,thin,
2020,2020-04-01,92,1.038,0.000,core,
2020,2020-06-06,158,4.450,3.412,core,
2020,2020-07-20,202,4.317,3.278,core,
2020,2020-08-11,224,4.116,3.078,core,
2020,2020-08-22,235,3.840,2.801,core,
2020,2020-09-02,246,3.356,2.317,core,
2020,2020-09-13,257,3.102,2.063,core,
2020,2020-09-24,268,2.753,1.715,core,
2021,2021-04-10,100,0.958,0.000,core,
2021,2021-05-02,122,1.813,0.855,core,
2021,2021-06-26,177,1.863,0.906,core,
2021,2021-07-18,199,5.415,4.457,core,
2021,2021-07-29,210,5.229,4.271,core,
2021,2021-08-09,221,4.801,3.843,core,
2021,2021-08-20,232,4.303,3.345,core,
2021,2021-08-31,243,4.318,3.360,core,
2021,2021-09-22,265,3.447,2.490,core,
2022,2022-08-07,219,3.864,0.000,thin,
2023,2023-08-27,239,-0.079,0.000,thin,
2023,2023-09-07,250,1.120,1.199,thin,
2023,2023-09-18,261,1.289,1.368,thin,
2023,2023-09-29,272,2.362,2.441,thin,
2024,2024-08-24,237,2.105,0.000,thin,
2024,2024-09-04,248,0.000,-2.105,thin,
2024,2024-09-15,259,1.968,-0.136,thin,
2024,2024-09-26,270,3.324,1.220,thin,
2025,2025-08-11,223,-1.486,0.000,thin,
2025,2025-09-02,245,0.920,2.406,thin,
2025,2025-09-13,256,2.076,3.562,thin,
2025,2025-09-24,267,0.228,1.714,thin,

REJECTED SCENES,,,,,,
year,month,day,reason
2013,8,16,"stable NMAD=16.9m, anom=+22.9m"
2013,8,27,"stable NMAD=7.4m, anom=+9.1m"
2015,8,23,"stable NMAD=6.1m, anom=+6.0m"
2015,9,3,"stable NMAD=6.0m, anom=+6.1m"
2018,7,25,"stable NMAD=7.4m, anom=+8.4m"
2020,5,4,"stable NMAD=7.4m, anom=+6.3m"
2021,6,15,"stable NMAD=6.2m, anom=+5.8m"
2022,8,18,"stable NMAD=9.1m, anom=+4.1m"
2022,8,29,"stable NMAD=7.6m, anom=+2.5m"
2023,4,6,"stable NMAD=33.7m, anom=-1.3m"
2023,4,28,"stable NMAD=13.0m, anom=-0.4m"
2023,5,20,"stable NMAD=34.7m, anom=-24.2m"
2023,6,11,too few glacier px
2023,6,22,"stable NMAD=37.0m, anom=+6.4m"
2023,7,3,too few glacier px
2023,8,5,"stable NMAD=12.4m, anom=-9.5m"
2023,8,16,"stable NMAD=8.5m, anom=+9.8m"
2024,4,3,"stable NMAD=36.3m, anom=+8.8m"
2024,4,14,"stable NMAD=36.8m, anom=-0.2m"
2024,4,25,too few glacier px
2024,6,19,"stable NMAD=36.6m, anom=-6.6m"
2024,6,30,"stable NMAD=33.1m, anom=+4.3m"
