winter_season,n_scenes,flank_n,flank_medianT_C,rest_n,rest_medianT_C,anomaly_C
2014,7,0,nan,0,nan,nan
2015,8,248,-6.551300048828125,5071,-26.391204833984375,19.83990478515625
2016,11,1206,-7.197296142578125,22527,-35.862548828125,28.665252685546875
2017,7,0,nan,1998,nan,nan
2018,11,87,-10.685394287109375,21846,-23.113327026367188,12.427932739257812
2019,6,0,nan,5320,nan,nan
2020,6,101,-5.233673095703125,11989,-32.70770263671875,27.474029541015625
2021,5,52,5.678375244140625,8113,-23.417526245117188,29.095901489257812
2022,7,0,nan,0,nan,nan
2023,17,0,nan,9147,nan,nan
2024,16,2226,-4.153564453125,25862,-28.7086181640625,24.5550537109375
2025,15,77,-15.49798583984375,15117,-29.402481079101562,13.904495239257812
2026,16,382,-6.505157470703125,32370,-24.46002197265625,17.954864501953125
