month,class,elevation_controlled_anomaly_C,ci95_halfwidth_C,n_elev_bands
Jan,persistent,nan,nan,0
Jan,eruption_specific,nan,nan,0
Feb,persistent,1.679636001586914,2.3556959395579162,8
Feb,eruption_specific,2.0080223083496094,1.292218058889057,14
Mar,persistent,6.448093891143799,5.99343151381761,9
Mar,eruption_specific,5.781335353851318,4.459446564220226,14
Apr,persistent,6.09843635559082,3.742689395779084,9
Apr,eruption_specific,5.257166385650635,3.1903443068699286,14
May,persistent,3.1569247245788574,2.114957054782272,9
May,eruption_specific,3.658494234085083,2.1403600142287327,14
Jun,persistent,3.8815393447875977,4.42190775238458,9
Jun,eruption_specific,2.1227734088897705,1.6724701790794225,14
Jul,persistent,13.146560668945312,6.500965626434066,9
Jul,eruption_specific,5.640322208404541,2.5368089823145508,13
Aug,persistent,9.428133010864258,4.221882715462671,9
Aug,eruption_specific,3.8992276191711426,1.8988138536328518,14
Sep,persistent,6.09651517868042,1.4235149398116127,9
Sep,eruption_specific,3.382863759994507,2.1904099968006707,14
Oct,persistent,4.037436485290527,3.9444055997503744,9
Oct,eruption_specific,3.7636070251464844,2.1145763853555644,14
Nov,persistent,0.44209957122802734,2.206296035894384,8
Nov,eruption_specific,2.030942916870117,2.715817069104158,12
