date,season,anom_m,anom_ash_m,kept
2012-02-13,W,6.387,5.114,1
2014-04-04,W,4.871,3.713,1
2015-04-13,W,5.977,4.766,1
2015-04-24,W,6.179,4.817,1
2016-02-26,W,6.036,4.388,1
2016-03-08,W,5.723,4.133,1
2016-03-30,W,6.046,4.430,1
2016-04-10,W,5.770,4.264,1
2016-04-21,W,5.891,4.262,1
2017-02-12,W,4.704,3.802,1
2017-04-08,W,3.890,3.252,1
2018-01-30,W,2.611,2.672,1
2018-02-10,W,5.117,4.699,1
2018-02-21,W,0.850,1.222,1
2020-02-17,W,4.216,3.379,1
2020-04-01,W,2.486,2.528,1
2021-01-12,W,6.715,6.297,1
2021-02-03,W,3.740,3.196,1
2021-04-10,W,2.426,2.446,1
2022-03-06,W,0.927,1.110,1
2022-11-14,W,3.965,3.244,1
2022-11-25,W,3.942,3.281,1
2022-12-06,W,4.065,3.350,1
2022-12-17,W,6.611,5.688,1
2024-01-06,W,5.212,3.676,1
2024-01-28,W,3.369,2.252,1
2024-02-19,W,3.365,2.410,1
2024-12-23,W,2.192,1.353,1
2025-01-03,W,0.000,0.000,1
2025-01-14,W,-1.865,-1.271,1
2025-01-25,W,1.324,0.715,1
2020-12-21,W,-6.862,-5.173,0
2021-01-23,W,8.145,7.129,0
2022-03-17,W,8.988,8.140,0
2012-06-02,S,6.719,5.909,1
2012-07-05,S,8.880,6.506,1
2012-07-27,S,7.696,5.563,1
2012-08-07,S,7.743,5.680,1
2012-08-18,S,7.347,5.310,1
2013-07-03,S,7.111,5.512,1
2013-07-25,S,7.617,5.383,1
2013-08-05,S,7.204,5.123,1
2013-09-18,S,8.660,6.693,1
2013-09-29,S,6.045,4.845,1
2014-06-09,S,6.527,5.550,1
2014-06-20,S,6.843,5.523,1
2014-07-12,S,7.341,5.434,1
2014-07-23,S,7.015,5.038,1
2014-08-03,S,6.902,4.900,1
2015-08-01,S,6.184,4.183,1
2015-08-12,S,8.599,6.610,1
2015-08-23,S,7.516,5.735,1
2015-09-03,S,7.624,5.795,1
2015-09-14,S,6.812,4.914,1
2015-09-25,S,6.588,4.703,1
2016-06-04,S,6.488,5.009,1
2016-06-15,S,7.219,5.259,1
2016-06-26,S,6.921,4.925,1
2016-07-18,S,6.713,4.867,1
2016-08-09,S,6.214,4.561,1
2016-08-20,S,5.883,4.318,1
2016-08-31,S,5.698,4.312,1
2017-06-02,S,5.282,4.950,1
2017-06-13,S,5.713,5.200,1
2017-06-24,S,6.398,4.947,1
2017-07-16,S,5.713,4.422,1
2017-08-07,S,5.331,4.022,1
2017-08-29,S,5.109,4.016,1
2018-08-05,S,4.450,3.362,1
2018-08-16,S,6.305,5.125,1
2018-08-27,S,5.098,4.288,1
2018-09-07,S,3.635,3.091,1
2018-09-18,S,4.392,3.779,1
2018-09-29,S,4.068,3.490,1
2019-06-09,S,4.841,4.841,1
2019-06-20,S,5.006,4.503,1
2019-07-01,S,6.121,5.211,1
2019-09-16,S,5.069,4.126,1
2019-09-27,S,4.140,3.380,1
2020-06-06,S,5.681,4.847,1
2020-07-20,S,5.551,4.199,1
2020-08-11,S,5.487,4.096,1
2020-08-22,S,5.181,4.088,1
2020-09-02,S,4.762,3.828,1
2020-09-13,S,4.573,3.722,1
2020-09-24,S,4.333,3.576,1
2021-07-18,S,6.285,4.344,1
2021-07-29,S,6.480,4.720,1
2021-08-09,S,6.054,4.578,1
2021-08-20,S,5.725,4.180,1
2021-08-31,S,5.691,4.269,1
2021-09-22,S,4.915,3.864,1
2022-08-07,S,5.102,3.516,1
2022-08-29,S,3.485,1.409,1
2023-09-07,S,2.289,1.528,1
2023-09-18,S,2.593,1.750,1
2023-09-29,S,3.650,2.812,1
2024-09-15,S,3.193,2.353,1
2024-09-26,S,4.785,3.622,1
2025-09-02,S,1.965,0.845,1
2025-09-13,S,3.004,2.066,1
2025-09-24,S,1.337,0.821,1
2013-08-27,S,10.745,7.956,0
2013-09-07,S,4.174,3.093,0
2015-07-21,S,4.846,3.304,0
2018-07-25,S,9.960,8.228,0
2021-06-15,S,7.182,6.877,0
2021-06-26,S,2.860,3.541,0
2023-08-27,S,1.134,0.787,0
2024-07-22,S,-1.429,-1.579,0
2024-08-13,S,8.947,7.272,0
2024-09-04,S,1.211,0.902,0
2025-08-11,S,-0.471,-1.211,0
